algo,mse,alpha,dataset
albopt,3.2899,0.1,people
albopt_pow2,3.0775,0.1,people
albopt_pow2_max_c,2.7594,0.1,people
random_sim,5.9948,0.1,people
greedy_sim,3.1133,0.1,people
albopt,1.0218,0.1,people
albopt_pow2,1.0532,0.1,people
albopt_pow2_max_c,1.1107,0.1,people
random_sim,1.6353,0.1,people
greedy_sim,0.8424,0.1,people
albopt,3.6114,0.1,people
albopt_pow2,2.5507,0.1,people
albopt_pow2_max_c,2.741,0.1,people
random_sim,4.804,0.1,people
greedy_sim,2.7622,0.1,people
albopt,2.4346,0.1,people
albopt_pow2,1.8164,0.1,people
albopt_pow2_max_c,1.4886,0.1,people
random_sim,5.483,0.1,people
greedy_sim,1.7205,0.1,people
albopt,1.2365,0.1,people
albopt_pow2,0.9137,0.1,people
albopt_pow2_max_c,0.6723,0.1,people
random_sim,2.9428,0.1,people
greedy_sim,1.1749,0.1,people
albopt,1.7686,0.1,people
albopt_pow2,1.2611,0.1,people
albopt_pow2_max_c,1.1401,0.1,people
random_sim,6.5516,0.1,people
greedy_sim,1.537,0.1,people
albopt,1.0831,0.1,people
albopt_pow2,0.8243,0.1,people
albopt_pow2_max_c,0.7748,0.1,people
random_sim,1.5989,0.1,people
greedy_sim,0.7638,0.1,people
albopt,2.5575,0.1,people
albopt_pow2,2.1826,0.1,people
albopt_pow2_max_c,1.8688,0.1,people
random_sim,7.2943,0.1,people
greedy_sim,2.459,0.1,people
albopt,1.5059,0.1,people
albopt_pow2,1.9136,0.1,people
albopt_pow2_max_c,2.801,0.1,people
random_sim,2.9053,0.1,people
greedy_sim,1.9167,0.1,people
albopt,2.1848,0.1,people
albopt_pow2,1.9758,0.1,people
albopt_pow2_max_c,1.7911,0.1,people
random_sim,3.1388,0.1,people
greedy_sim,2.1924,0.1,people
albopt,1.3138,0.1,people
albopt_pow2,1.0789,0.1,people
albopt_pow2_max_c,1.0423,0.1,people
random_sim,4.6447,0.1,people
greedy_sim,0.8889,0.1,people
albopt,2.0103,0.1,people
albopt_pow2,1.905,0.1,people
albopt_pow2_max_c,1.8616,0.1,people
random_sim,4.2438,0.1,people
greedy_sim,2.1733,0.1,people
albopt,0.8784,0.1,people
albopt_pow2,1.1976,0.1,people
albopt_pow2_max_c,1.1194,0.1,people
random_sim,3.9808,0.1,people
greedy_sim,0.7199,0.1,people
albopt,1.42,0.1,people
albopt_pow2,1.2093,0.1,people
albopt_pow2_max_c,1.3867,0.1,people
random_sim,7.8051,0.1,people
greedy_sim,1.082,0.1,people
albopt,1.6558,0.1,people
albopt_pow2,1.6206,0.1,people
albopt_pow2_max_c,1.6486,0.1,people
random_sim,4.4293,0.1,people
greedy_sim,2.1119,0.1,people
albopt,1.0772,0.1,people
albopt_pow2,0.9996,0.1,people
albopt_pow2_max_c,0.8955,0.1,people
random_sim,1.6314,0.1,people
greedy_sim,0.902,0.1,people
albopt,0.8703,0.1,people
albopt_pow2,0.8669,0.1,people
albopt_pow2_max_c,0.8944,0.1,people
random_sim,2.4184,0.1,people
greedy_sim,1.4448,0.1,people
albopt,2.4775,0.1,people
albopt_pow2,2.4763,0.1,people
albopt_pow2_max_c,2.6304,0.1,people
random_sim,3.0809,0.1,people
greedy_sim,3.2799,0.1,people
albopt,1.0815,0.1,people
albopt_pow2,1.102,0.1,people
albopt_pow2_max_c,1.1507,0.1,people
random_sim,1.688,0.1,people
greedy_sim,1.3759,0.1,people
albopt,5.3928,0.1,people
albopt_pow2,4.6804,0.1,people
albopt_pow2_max_c,4.4944,0.1,people
random_sim,9.0,0.1,people
greedy_sim,5.2675,0.1,people
albopt,1.6735,0.1,people
albopt_pow2,1.5817,0.1,people
albopt_pow2_max_c,1.7656,0.1,people
random_sim,4.5635,0.1,people
greedy_sim,1.5136,0.1,people
albopt,2.6508,0.1,people
albopt_pow2,2.4578,0.1,people
albopt_pow2_max_c,2.6442,0.1,people
random_sim,3.7863,0.1,people
greedy_sim,2.7955,0.1,people
albopt,1.3817,0.1,people
albopt_pow2,0.9208,0.1,people
albopt_pow2_max_c,1.2424,0.1,people
random_sim,2.2571,0.1,people
greedy_sim,1.1083,0.1,people
albopt,1.4771,0.1,people
albopt_pow2,1.2733,0.1,people
albopt_pow2_max_c,1.2489,0.1,people
random_sim,2.9655,0.1,people
greedy_sim,1.4708,0.1,people
albopt,1.5911,0.1,people
albopt_pow2,0.9872,0.1,people
albopt_pow2_max_c,1.2232,0.1,people
random_sim,3.0151,0.1,people
greedy_sim,0.919,0.1,people
albopt,5.1994,0.1,people
albopt_pow2,4.8494,0.1,people
albopt_pow2_max_c,5.0881,0.1,people
random_sim,7.3223,0.1,people
greedy_sim,4.9709,0.1,people
albopt,1.8404,0.1,people
albopt_pow2,1.3415,0.1,people
albopt_pow2_max_c,1.3735,0.1,people
random_sim,6.317,0.1,people
greedy_sim,1.3856,0.1,people
albopt,1.8073,0.1,people
albopt_pow2,1.3904,0.1,people
albopt_pow2_max_c,1.3391,0.1,people
random_sim,2.8785,0.1,people
greedy_sim,1.5343,0.1,people
albopt,1.1301,0.1,people
albopt_pow2,0.9979,0.1,people
albopt_pow2_max_c,0.7516,0.1,people
random_sim,2.1982,0.1,people
greedy_sim,0.9385,0.1,people
albopt,1.4049,0.1,people
albopt_pow2,1.4652,0.1,people
albopt_pow2_max_c,1.4495,0.1,people
random_sim,1.8146,0.1,people
greedy_sim,1.717,0.1,people
albopt,4.0697,0.1,people
albopt_pow2,2.8124,0.1,people
albopt_pow2_max_c,2.476,0.1,people
random_sim,5.5233,0.1,people
greedy_sim,3.8619,0.1,people
albopt,1.8564,0.1,people
albopt_pow2,1.4163,0.1,people
albopt_pow2_max_c,1.4617,0.1,people
random_sim,4.5738,0.1,people
greedy_sim,1.5396,0.1,people
albopt,1.1788,0.1,people
albopt_pow2,1.5182,0.1,people
albopt_pow2_max_c,1.5002,0.1,people
random_sim,2.7694,0.1,people
greedy_sim,1.932,0.1,people
albopt,2.0929,0.1,people
albopt_pow2,1.7481,0.1,people
albopt_pow2_max_c,1.7287,0.1,people
random_sim,3.2623,0.1,people
greedy_sim,2.1296,0.1,people
albopt,2.1422,0.1,people
albopt_pow2,2.1361,0.1,people
albopt_pow2_max_c,2.0788,0.1,people
random_sim,4.1801,0.1,people
greedy_sim,2.1462,0.1,people
albopt,1.5833,0.1,people
albopt_pow2,0.9702,0.1,people
albopt_pow2_max_c,1.0218,0.1,people
random_sim,3.9777,0.1,people
greedy_sim,1.1089,0.1,people
albopt,0.8584,0.1,people
albopt_pow2,1.2056,0.1,people
albopt_pow2_max_c,1.1043,0.1,people
random_sim,2.4846,0.1,people
greedy_sim,1.1975,0.1,people
albopt,2.4113,0.1,people
albopt_pow2,1.9915,0.1,people
albopt_pow2_max_c,1.8692,0.1,people
random_sim,5.731,0.1,people
greedy_sim,2.1265,0.1,people
albopt,3.7276,0.1,people
albopt_pow2,2.4268,0.1,people
albopt_pow2_max_c,2.5826,0.1,people
random_sim,6.8738,0.1,people
greedy_sim,3.357,0.1,people
albopt,1.6565,0.1,people
albopt_pow2,1.7162,0.1,people
albopt_pow2_max_c,1.5087,0.1,people
random_sim,2.3435,0.1,people
greedy_sim,1.6652,0.1,people
albopt,1.069,0.1,people
albopt_pow2,0.8979,0.1,people
albopt_pow2_max_c,0.7377,0.1,people
random_sim,4.4891,0.1,people
greedy_sim,1.1548,0.1,people
albopt,3.0271,0.1,people
albopt_pow2,2.6606,0.1,people
albopt_pow2_max_c,3.0199,0.1,people
random_sim,4.6658,0.1,people
greedy_sim,2.9221,0.1,people
albopt,2.1777,0.1,people
albopt_pow2,2.0562,0.1,people
albopt_pow2_max_c,2.4512,0.1,people
random_sim,4.1689,0.1,people
greedy_sim,1.9975,0.1,people
albopt,2.0304,0.1,people
albopt_pow2,1.8824,0.1,people
albopt_pow2_max_c,1.9141,0.1,people
random_sim,6.7198,0.1,people
greedy_sim,2.2715,0.1,people
albopt,1.0183,0.1,people
albopt_pow2,0.7975,0.1,people
albopt_pow2_max_c,0.832,0.1,people
random_sim,2.1603,0.1,people
greedy_sim,0.8271,0.1,people
albopt,2.8851,0.1,people
albopt_pow2,2.5287,0.1,people
albopt_pow2_max_c,2.2819,0.1,people
random_sim,8.0619,0.1,people
greedy_sim,3.3084,0.1,people
albopt,2.5861,0.1,people
albopt_pow2,2.7429,0.1,people
albopt_pow2_max_c,2.6752,0.1,people
random_sim,4.641,0.1,people
greedy_sim,2.5704,0.1,people
albopt,1.5954,0.1,people
albopt_pow2,1.86,0.1,people
albopt_pow2_max_c,1.9164,0.1,people
random_sim,1.0251,0.1,people
greedy_sim,2.128,0.1,people
albopt,2.7279,0.1,people
albopt_pow2,2.5758,0.1,people
albopt_pow2_max_c,2.6181,0.1,people
random_sim,4.8573,0.1,people
greedy_sim,3.1093,0.1,people
albopt,1.251,0.1,people
albopt_pow2,1.4944,0.1,people
albopt_pow2_max_c,1.0462,0.1,people
random_sim,2.2134,0.1,people
greedy_sim,1.8599,0.1,people
albopt,2.3796,0.1,people
albopt_pow2,2.3721,0.1,people
albopt_pow2_max_c,2.5462,0.1,people
random_sim,5.0387,0.1,people
greedy_sim,2.1482,0.1,people
albopt,1.2449,0.1,people
albopt_pow2,0.9891,0.1,people
albopt_pow2_max_c,1.0045,0.1,people
random_sim,2.1193,0.1,people
greedy_sim,1.5293,0.1,people
albopt,1.9269,0.1,people
albopt_pow2,1.9304,0.1,people
albopt_pow2_max_c,1.5681,0.1,people
random_sim,3.0823,0.1,people
greedy_sim,2.2629,0.1,people
albopt,1.9505,0.1,people
albopt_pow2,1.935,0.1,people
albopt_pow2_max_c,1.9259,0.1,people
random_sim,4.2051,0.1,people
greedy_sim,2.0939,0.1,people
albopt,1.1783,0.1,people
albopt_pow2,1.374,0.1,people
albopt_pow2_max_c,1.3863,0.1,people
random_sim,2.9841,0.1,people
greedy_sim,1.1954,0.1,people
albopt,2.9027,0.1,people
albopt_pow2,1.7888,0.1,people
albopt_pow2_max_c,1.686,0.1,people
random_sim,7.4442,0.1,people
greedy_sim,2.4104,0.1,people
albopt,3.324,0.1,people
albopt_pow2,2.5105,0.1,people
albopt_pow2_max_c,2.2486,0.1,people
random_sim,8.3098,0.1,people
greedy_sim,3.6402,0.1,people
albopt,3.1041,0.1,people
